Pollinator ID,Date,Species,Genus,Family,Order,Group,Visits,Block,Replication,Time Period,Site,Plant ID,Number of Flowers,Flower Range,Abundance,Start Time,Minutes,Solar Power (W/m^2),Temperature (C degrees),Humidity (% RH),Wind Speed (m/s)
None,04/06/2026,None,None,None,None,None,0,1,1,3,2,6,20,501:520,1900,17:52,20,198,18.5,67.9,0.1
29,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera, Bumblebee,1,1,1,3,2,8,20,521:540,2954,18:17,20,109.6,17.8,61.2,0.3
30,04/06/2026,Bombus lucorum,Bombus,Apidae,Hymenoptera, Bumblebee,9,1,1,3,2,8,20,521:540,2954,18:17,20,109.6,17.8,61.2,0.3
31,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera, Bumblebee,1,1,1,3,2,8,20,521:540,2954,18:17,20,109.6,17.8,61.2,0.3
32,04/06/2026,Bombus lucorum,Bombus,Apidae,Hymenoptera, Bumblebee,1,1,1,3,2,8,20,521:540,2954,18:17,20,109.6,17.8,61.2,0.3
33,04/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,1,3,2,8,20,541:560,2954,18:17,20,109.6,17.8,61.2,0.3
34,04/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,1,3,2,7,20,541:560,210,18:43,20,147.6,17.5,64.8,0.1
None,04/06/2026,None,None,None,None,None,0,1,1,3,2,9,20,561:580,320,19:02,20,99.7,16.3,64.2,0.3
None,04/06/2026,None,None,None,None,None,0,1,1,3,2,10,20,581:600,43,19:24,20,88.5,16.2,68.2,0.8
None,05/06/2026,None,None,None,None,None,0,1,2,1,2,6,50,601:650,1900,05:15,20,32.9,14,58.2,1.3
None,05/06/2026,None,None,None,None,None,0,1,2,1,2,10,50,651:700,170,05:40,20,37.5,13.3,59.2,1.6
None,05/06/2026,None,None,None,None,None,0,1,2,1,2,7,20,701:720,210,06:05,20,44.7,12.5,63.7,1.8
None,05/06/2026,None,None,None,None,None,0,1,2,1,2,9,50,721:770,320,06:30,20,48.3,11.9,70.1,1.5
None,05/06/2026,None,None,None,None,None,0,1,2,1,2,8,50,771:820,2954,06:53,20,35.7,10.5,70.5,1.1
None,05/06/2026,None,None,None,None,None,0,1,2,1,1,1,20,821:840,469,07:58,20,424,15.4,63.7,0.3
None,05/06/2026,None,None,None,None,None,0,1,2,1,1,2,17,841:857,582,08:20,20,702,13.3,59.9,4.2
None,05/06/2026,None,None,None,None,None,0,1,2,1,1,5,43,858:900,1291,08:45,20,40.7,16.6,59.9,0.6
None,05/06/2026,None,None,None,None,None,0,1,2,1,1,4,50,901:950,1291,09:13,20,625,14.8,58.9,3.1
35,05/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,21,1,2,1,1,3,50,951:1000,22444,09:42,20,802,17.3,57.7,1.6
36,05/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,8,1,2,1,1,3,50,951:1000,22444,09:42,20,802,17.3,57.7,1.6
37,05/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,11,1,2,1,1,3,50,951:1000,22444,09:42,20,802,17.3,57.7,1.6
38,05/06/2026,NA,NA,NA,Diptera,Other Fly,6,1,2,1,1,3,50,951:1000,22444,09:42,20,802,17.3,57.7,1.6
39,05/06/2026,Lycaena phlaeas,Lycaena,Lycaenidae,Lepidoptera,Butterfly,1,1,2,1,1,3,50,951:1000,22444,09:42,20,802,17.3,57.7,1.6
None,05/06/2026,None,None,None,None,None,0,1,2,2,1,4,50,1001:1050,1291,10:11,20,785,21.2,42.5,2.7
None,06/06/2026,None,None,None,None,None,0,1,2,2,1,2,17,1051:1067,582,10:41,20,935,20.2,48.2,4.5
40,05/06/2026,NA,NA,NA,Diptera,Other Fly,2,1,2,2,1,1,20,1068:1087,469,11:05,20,790,22.9,46.6,1.2
41,05/06/2026,NA,NA,NA,Diptera,Other Fly,2,1,2,2,1,1,50,1068:1087,469,11:05,20,790,22.9,46.6,1.2
42,05/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,2,2,1,1,50,1068:1087,469,11:05,20,790,22.9,46.6,1.2
43,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,39,1,2,2,1,5,43,1088:1130,43,11:30,20,289,22.6,48.1,1.6
44,05/06/2026,Platycheirus manicatus,Platycheirus,Syrphidae,Diptera,Hoverfly,3,1,2,2,1,5,43,1088:1130,43,11:30,20,289,22.6,48.1,1.6
45,05/06/2026,Platycheirus manicatus,Platycheirus,Syrphidae,Diptera,Hoverfly,2,1,2,2,1,5,43,1088:1130,43,11:30,20,289,22.6,48.1,1.6
46,05/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,2,2,1,3,50,1131:1180,22444,11:56,20,1183,21.8,43,1.9
47,05/06/2026,Bombus hypnorum,Bombus,Apidae,Hymenoptera,Bumblebee,44,1,2,2,1,3,50,1131:1180,22444,11:56,20,1183,21.8,43,1.9
48,05/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,24,1,2,2,1,3,50,1131:1180,22444,11:56,20,1183,21.8,43,1.9
49,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,15,1,2,2,1,3,50,1131:1180,22444,11:56,20,1183,21.8,43,1.9
50,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,2,2,1,3,50,1131:1180,22444,11:56,20,1183,21.8,43,1.9
51,05/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,2,2,2,7,20,1181:1200,210,13:27,20,443,22.3,45.5,1.3
52,05/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,2,2,2,7,20,1181:1200,210,13:27,20,443,22.3,45.5,1.3
53,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,14,1,2,2,2,7,20,1181:1200,210,13:27,20,443,22.3,45.5,1.3
54,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,2,2,2,7,20,1181:1200,210,13:27,20,443,22.3,45.5,1.3
55,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,4,1,2,2,2,7,20,1181:1200,210,13:27,20,443,22.3,45.5,1.3
None,05/06/2026,None,None,None,None,None,0,1,2,2,2,6,50,1201:1250,1900,13:51,20,302,23.7,35.4,3.1
56,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,13,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
57,05/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,30,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
58,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,14,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
59,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,15,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
60,05/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,7,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
61,05/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,8,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
62,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,13,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
63,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,13,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
64,05/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,2,2,2,8,50,1251:1300,2954,14:14,20,230,23.4,38.1,0
65,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,5,1,2,2,2,9,50,1301:1350,320,14:25,20,397,23.4,41.4,2.3
66,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,2,2,2,9,50,1301:1350,320,14:25,20,397,23.4,41.4,2.3
67,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,26,1,2,2,2,9,50,1301:1350,320,14:25,20,397,23.4,41.4,2.3
68,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,4,1,2,2,2,9,50,1301:1350,320,14:25,20,397,23.4,41.4,2.3
69,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,2,2,2,9,50,1301:1350,320,14:25,20,397,23.4,41.4,2.3
70,05/06/2026,Bombus hortorum,Bombus,Apidae,Hymenoptera,Bumblebee,26,1,2,2,2,10,50,1351:1400,170,14:45,20,287,23.4,41.9,0.1
71,05/06/2026,Bombus hortorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,2,2,2,10,50,1351:1400,170,14:45,20,287,23.4,41.9,0.1
72,05/06/2026,Bombus hortorum,Bombus,Apidae,Hymenoptera,Bumblebee,6,1,2,2,2,10,50,1351:1400,170,14:45,20,287,23.4,41.9,0.1
73,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,8,1,2,3,2,8,50,1401:1450,2954,15:20,20,437,23.4,38.7,0.9
74,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,11,1,2,3,2,8,50,1401:1450,2954,15:20,20,437,23.4,38.7,0.9
75,05/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,5,1,2,3,2,8,50,1401:1450,2954,15:20,20,437,23.4,38.7,0.9
76,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,4,1,2,3,2,8,50,1401:1450,2954,15:20,20,437,23.4,38.7,0.9
77,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,7,1,2,3,2,8,50,1401:1450,2954,15:20,20,437,23.4,38.7,0.9
78,05/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,21,1,2,3,2,8,50,1401:1450,2954,15:20,20,437,23.4,38.7,0.9
79,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,13,1,2,3,2,8,50,1401:1450,2954,15:20,20,437,23.4,38.7,0.9
80,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,2,3,2,7,20,1451:1470,210,15:43,20,1085,22.5,42.5,1.1
81,05/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,2,3,2,7,20,1451:1470,210,15:43,20,1085,22.5,42.5,1.1
82,05/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,2,3,2,7,20,1451:1470,210,15:43,20,1085,22.5,42.5,1.1
83,05/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,2,3,2,7,20,1451:1470,210,15:43,20,1085,22.5,42.5,1.1
84,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,5,1,2,3,2,7,20,1451:1470,210,15:43,20,1085,22.5,42.5,1.1
85,05/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,2,3,2,9,50,1471:1520,320,16:07,20,186,20.1,40.7,1.3
86,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,19,1,2,3,2,9,50,1471:1520,320,16:07,20,186,20.1,40.7,1.3
87,05/06/2026,Bombus hortorum,Bombus,Apidae,Hymenoptera,Bumblebee,19,1,2,3,2,10,50,1521:1570,170,16:31,20,124,19.5,40.7,2
88,05/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,2,3,2,10,50,1521:1570,170,16:31,20,124,19.5,40.7,2
None,05/06/2026,None,None,None,None,None,0,1,2,3,2,6,50,1571:1620,1900,16:52,20,67.2,19.5,43.2,0.2
89,05/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,17,1,2,3,1,3,50,1621:1670,22444,17:52,20,49,17.1,53,1.2
None,05/06/2026,None,None,None,None,None,0,1,2,3,1,4,50,1671:1720,1291,18:14,20,99.1,14.2,69.1,0.9
None,05/06/2026,None,None,None,None,None,0,1,2,3,1,5,43,1721:1763,43,18:35,20,79.5,14.4,84.3,0
None,05/06/2026,None,None,None,None,None,0,1,2,3,1,2,50,1764:1783,582,18:57,20,96.1,14.8,77.5,0.8
90,05/06/2026,NA,NA,NA,Diptera,None,1,1,2,3,1,1,20,1784:1803,469,19:18,20,71.7,14.3,64.7,1.6
None,15/06/2026,None,None,None,None,None,0,1,3,1,1,2,100,1804:1903,582,05:05,20,363,16.8,61.8,1.7
None,15/06/2026,None,None,None,None,None,0,1,3,1,1,3,100,1904:2003,22444,05:30,20,49.5,15.4,62.4,1.4
None,15/06/2026,None,None,None,None,None,0,1,3,1,1,1,33,2004:2036,469,05:55,20,50.8,14.8,64.5,0
91,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,1,1,5,14,2037:2050,43,06:21,20,34.2,14,66,0
None,15/06/2026,None,None,None,None,None,0,1,3,1,1,4,100,2051:2150,1291,06:47,20,43.1,13.6,66.5,0.5
92,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,105,1,3,1,2,8,100,2051:2250,2954,07:50,20,548,23.7,43.3,0
93,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,25,1,3,1,2,8,100,2051:2250,2954,07:50,20,548,23.7,43.3,0
94,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,11,1,3,1,2,8,100,2051:2250,2954,07:50,20,548,23.7,43.3,0
95,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,26,1,3,1,2,8,100,2051:2250,2954,07:50,20,548,23.7,43.3,0
96,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,27,1,3,1,2,8,100,2051:2250,2954,07:50,20,548,23.7,43.3,0
97,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,48,1,3,1,2,8,100,2051:2250,2954,07:50,20,548,23.7,43.3,0
98,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,1,2,8,100,2051:2250,2954,07:50,20,548,23.7,43.3,0
None,15/06/2026,None,None,None,None,None,0,1,3,1,2,6,100,2251:2350,1900,08:14,20,712,23.3,50.3,0.4
99,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,3,1,2,7,30,2351:2380,210,08:34,20,896,28.1,38.4,0
100,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,1,2,7,30,2351:2380,210,08:34,20,896,28.1,38.4,0
101,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,1,2,9,100,2381:2480,320,08:57,20,208,28.1,42.9,0
102,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,3,1,2,9,100,2381:2480,320,08:57,20,208,28.1,42.9,0
103,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,3,1,2,9,100,2381:2480,320,08:57,20,208,28.1,42.9,0
None,15/06/2026,None,None,None,None,None,0,1,3,1,2,10,12,2481:2592,170,09:18,20,229,24.8,41.2,1
None,15/06/2026,None,None,None,None,None,0,1,3,2,2,6,100,2493:2592,1900,10:00,20,141.5,23.2,47.5,0
104,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,2,2,9,100,2593:2692,320,10:23,20,113.5,21.6,47.5,0
None,15/06/2026,None,None,None,None,None,0,1,3,2,2,10,12,2693:2704,170,10:45,20,149.1,21.3,50.8,0
105,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,2,2,7,30,2705:2734,210,11:07,20,250,22.6,48.1,0
106,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,4,1,3,2,2,7,30,2705:2734,210,11:07,20,250,22.6,48.1,0
107,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,3,2,2,7,30,2705:2734,210,11:07,20,250,22.6,48.1,0
108,15/06/2026,NA,NA,NA,Hymenoptera,Honeybee,1,1,3,2,2,7,30,2705:2734,210,11:07,20,250,22.6,48.1,0
109,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,2,2,7,30,2705:2734,210,11:07,20,250,22.6,48.1,0
110,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,2,2,7,30,2705:2734,210,11:07,20,250,22.6,48.1,0
111,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,4,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
112,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,10,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
113,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,157,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
114,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
115,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,31,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
116,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,26,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
117,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,60,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
118,15/06/2026,NA,NA,Syrphidae,Diptera,Hoverfly,2,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
119,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
120,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
121,15/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
122,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,8,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
123,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,17,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
124,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,17,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
125,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,17,1,3,2,2,8,100,2735:2834,2954,11:37,20,332,24.4,47.6,0.1
126,15/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,3,2,1,2,100,2835:2934,582,12:35,20,137.9,24,48.2,0
127,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,3,2,1,2,100,2835:2934,582,12:35,20,137.9,24,48.2,0
128,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,3,2,1,2,100,2835:2934,582,12:35,20,137.9,24,48.2,0
129,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,3,2,1,2,100,2835:2934,582,12:35,20,137.9,24,48.2,0
130,15/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,8,1,3,2,1,1,33,2935:2967,469,12:59,20,434,24,49.2,0
131,15/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,3,2,1,1,33,2935:2967,469,12:59,20,434,24,49.2,0
132,15/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,3,2,1,1,33,2935:2967,469,12:59,20,434,24,49.2,0
133,15/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,3,2,1,5,14,2968:2981,43,13:24,20,542,31.7,32.4,0
134,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,8,1,3,2,1,4,100,2982:2081,1291,13:45,20,1251,31.9,35.5,0
135,15/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,3,2,1,4,100,2982:3081,1291,13:45,20,1251,31.9,35.5,0
136,15/06/2026,Polyommatus icarus,Polyommatus,Lycaenidae,Lepidoptera,Butterfly,1,1,3,2,1,3,100,3082:3181,22444,14:11,20,439,27.7,35.1,1.4
137,15/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,3,2,1,3,100,3082:3181,22444,14:11,20,439,27.7,35.1,1.4
